Name,Structure,hERG inhibitor,hERG inhibitor_binary
CHEMBL729/LOPINAVIR,CC1=CC=CC(C)=C1OCC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,Yes,1
CHEMBL584/NELFINAVIR,CC1=C(O)C=CC=C1C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,No,0
CHEMBL57/NEVIRAPINE,CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1,No,0
CHEMBL282042/SAQUINAVIR MESYLATE,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1.CS(=O)(=O)O,,NaN
CHEMBL222559/TIPRANAVIR,CCC[C@@]1(CCC2=CC=CC=C2)CC(O)=C([C@H](CC)C2=CC=CC(NS(=O)(=O)C3=CC=C(C(F)(F)F)C=N3)=C2)C(=O)O1,No,0
CHEMBL1735/INDINAVIR SULFATE,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O.O=S(=O)(O)O,,NaN
CHEMBL1465/PHENPROCOUMON,CCC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,No,0
CHEMBL1323/DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C(N)C=C1,No,0
CHEMBL129/ZIDOVUDINE,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,No,0
CHEMBL1163/ATAZANAVIR,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,No,0
CHEMBL116/AMPRENAVIR,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,No,0
CHEMBL115/INDINAVIR,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,No,0
CHEMBL114/SAQUINAVIR,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,No,0
CHEMBL113225,CC(C)[C@H](NC(=O)C1=CC2=CC=CC=C2N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)C1=CC2=CC=CC=C2N1)C(C)C,No,0
CHEMBL113090,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CC[C@H]2OCC[C@@H]12,No,0
CHEMBL113062,CC(C)(C)OC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)OCC1=CC=CC=C1,No,0
CHEMBL112958,CC(C)[C@H](NC(=O)OCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=N1)C(C)C,No,0
CHEMBL112930,CC(C)[C@H](NS(=O)(=O)CCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NS(=O)(=O)CCC1=CC=CC=N1)C(C)C,No,0
CHEMBL11287,COC1=CC=C(SC[C@H](NS(C)(=O)=O)C(=O)N[C@@H](CC2=CC=CC=C2)[C@H](O)CC2=CC=CC=C2C(=O)NC(C)(C)C)C=C1,No,0
CHEMBL112859,CC(C)[C@H](NC(=O)OCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=N1)C(C)C,No,0
CHEMBL112846,CC(C)[C@H](NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)CN1CCOCC1)C(C)C,No,0
CHEMBL112578,CC(C)[C@H](NS(=O)(=O)CCC1=CC=NC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NS(=O)(=O)CCC1=CC=NC=C1)C(C)C,No,0
CHEMBL112569,CC(C)[C@H](NC(=O)OCCN1CCCC1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,No,0
CHEMBL112546,CC(C)[C@H](NC(=O)OCC1=CC=NC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,No,0
CHEMBL112416,CC(C)[C@H](NC(=O)N(C)CC1=NC2=CC=CC=C2N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)N(C)CC1=NC2=CC=CC=C2N1)C(C)C,No,0
CHEMBL112412,CC(C)[C@H](NC(=O)OCCN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,No,0
CHEMBL112257,CSC1=NC=CC=C1CN1CCN(C[C@@H](O)C[C@@H](CC2=CC=CC=C2)C(=O)NC2C3=CC=CC=C3C[C@H]2O)[C@H](C(=O)NC(C)(C)C)C1,No,0
CHEMBL112186,CC(C)[C@H](NC(=O)OCC1=CC=CN=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CN=C1)C(C)C,No,0
CHEMBL112138,CC(C)[C@H](NC(=O)N(C)CC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)N(C)CC1=CC=CC=N1)C(C)C,No,0
CHEMBL111958,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)OCC1=CC=CC=C1)C(=O)N[C@H](C(=O)OC)C(C)C,No,0
CHEMBL111957,CC(C)[C@H](NC(=O)/C=C/C1=CC=CN=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)/C=C/C1=CC=CN=C1)C(C)C,No,0
CHEMBL11193,CC(=O)N[C@@H](CC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CC1=CC=CC=C1C(=O)NC(C)(C)C,No,0
CHEMBL11143,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CS(=O)(=O)C1=CC=CC2=CC=CC=C12)NS(C)(=O)=O,No,0
CHEMBL11142,CCCC(=O)N[C@@H](CC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CC1=CC=CC=C1C(=O)NC(C)(C)C,No,0
CHEMBL111388,CC(C)[C@H](NC(=O)N(C)CC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)N(C)CC1=CC=CN=C1)C(C)C,No,0
CHEMBL11137,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C[S+]([O-])C1=CC=CC=C1)NS(C)(=O)=O,No,0
CHEMBL111259,CC(C)C(NC(=O)OCC1=CC=CC=C1)C(=O)NN(CC1CCCCC1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,No,0
CHEMBL11116,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C[S+]([O-])C1=CC=CC2=CC=CC=C12)NS(C)(=O)=O,No,0
CHEMBL111143,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2OC[C@H]1O,No,0
CHEMBL110865,CC(C)[C@H](NS(=O)(=O)CCC1=CC=NC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NS(=O)(=O)CCC1=CC=NC=C1)C(C)C,No,0
CHEMBL110603,CC(C)[C@H](NC(=O)OCC1CCCCN1C)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,No,0
CHEMBL110557,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1)C(C)C,No,0
CHEMBL11050,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=C2C=CC=CC2=C1)NS(C)(=O)=O,No,0
CHEMBL110348,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2OC[C@@H]1O,No,0
CHEMBL11008,CC(=O)N[C@@H](CSC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CC1=CC=CC=C1C(=O)NC(C)(C)C,No,0
CHEMBL109992,CC(C)[C@H](NS(=O)(=O)CCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NS(=O)(=O)CCC1=CC=CC=N1)C(C)C,No,0
CHEMBL109976,CC(C)[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,No,0
CHEMBL109952,O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)[C@H](CC1=CC=CC=C1)CC(O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,No,0
CHEMBL109699,CC(C)[C@H](NC(=O)CCN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)CCN1CCOCC1)C(C)C,No,0
CHEMBL109500,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C,No,0
CHEMBL109371,CC(C)[C@H](NC(=O)OCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,No,0
CHEMBL109221,CC(C)[C@H](NC(=O)OCC1=CC=NC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=NC=C1)C(C)C,No,0
CHEMBL109220,CC(C)[C@H](NC(=O)CCC1=CC=CN=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)CCC1=CC=CN=C1)C(C)C,No,0
CHEMBL108960,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,No,0
CHEMBL108918,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CSC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,No,0
CHEMBL10890,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(=O)OCC1=CC=CC=C1,No,0
CHEMBL108807,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(O)CN(CC(C)C)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,No,0
CHEMBL108471,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1CCCC[C@H]1O,No,0
CHEMBL108429,COCCOC(=O)NC(C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC1CCCCC1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C,No,0
CHEMBL108102,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(O)CN(CC1=CC=C(F)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,No,0
CHEMBL10777,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=CC=C1)NS(C)(=O)=O,No,0
CHEMBL107748,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1C1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3C3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL107744,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)N[C@@H](CO)C1=CC=CC=C1,No,0
CHEMBL107701,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C,No,0
CHEMBL107559,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C(NC(=O)OC)C(C)C)C(C)C,No,0
CHEMBL107393,CCNC(=O)[C@@H](NC(=O)CC1=CC=CS1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CS3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL107369,COC(=O)[C@@H]1CC2=CC=CC=C2[C@@H]1NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C,No,0
CHEMBL107310,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC(=O)O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC(=O)O)SC1(C)C,No,0
CHEMBL107259,CC(C)(C)OC(=O)N[C@@H](CC1=CC=C(O)C=C1)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)NCC1=CC=CC=C1,No,0
CHEMBL107250,CC1(C)S[C@H]([C@@H](CO)NC(=O)CC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@@H](CO)NC(=O)CC2=CC=CC=C2)SC1(C)C,No,0
CHEMBL10725,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=C2C=CC=CC2=N1)NS(C)(=O)=O,No,0
CHEMBL107015,CCNC(=O)[C@@H](NS(=O)(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
CHEMBL106991,CC(C)(C)OC(=O)CNC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)NCC(=O)OC(C)(C)C)SC2(C)C)C(C)(C)S1,No,0
CHEMBL106965,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1OC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3OC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,No,0
